username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
benfolley;2016-05-04 20:48;1;0;"' @ZacGoldsmith repeated “dog-whistle politics” deployed by Cameron’s strategist Lynton Crosby https://www. morningstaronline.co.uk/a-3eed-A-campa ign-of-Islamophobia#.VynvUf6Dswb.twitter … #NastyZac #VoteLabour";;@ZacGoldsmith;# #NastyZac #VoteLabour;"727842253130059776";https://twitter.com/benfolley/status/727842253130059776
kevingallafent;2016-05-04 20:48;0;0;"@ZacGoldsmith how? No good just saying. Provide some areas where. Giving out roads back? Make Uber accountable? Insurance ?";;@ZacGoldsmith;;"727842231898525701";https://twitter.com/kevingallafent/status/727842231898525701
canuckuk;2016-05-04 20:47;0;0;"The Camden Bird Fanciers want to watch out.At any minute Zac Goldsmith could be descending upon them. #manofthepeople";;;#manofthepeople;"727842205717696514";https://twitter.com/canuckuk/status/727842205717696514
richard75941061;2016-05-04 20:47;0;0;"@xeccar @Reprobatemum @ZacGoldsmith licence to show films and paid studios to show their latest releases. Then would I have the right 2a/2";;@xeccar @Reprobatemum @ZacGoldsmith;;"727842179062861824";https://twitter.com/richard75941061/status/727842179062861824
toch32;2016-05-04 20:47;0;0;"@KTHopkins Heaven forbid.You will be even uglier naked.I want to see #Zac Goldsmith run with anti-racist boot up his arse.";;@KTHopkins;#Zac;"727842150344491008";https://twitter.com/toch32/status/727842150344491008
StephenOrr1981;2016-05-04 20:47;0;7;"@bryanadams @ZacGoldsmith He'll do it by making all the poor people homeless and forcing them out, then demolishing their homes.";;@bryanadams @ZacGoldsmith;;"727842045935665152";https://twitter.com/StephenOrr1981/status/727842045935665152
BogusSemantics;2016-05-04 20:47;0;0;"7 things @Zac_Goldsmith has decided he's a big fan of this week http://www. mirror.co.uk/news/uk-news/7 -things-zac-goldsmith-decided-7893938#ICID=sharebar_twitter … He likes green things too - Painful!";;@Zac_Goldsmith;#ICID;"727842022233616385";https://twitter.com/BogusSemantics/status/727842022233616385
AFCOllieJD;2016-05-04 20:47;3;11;"Just seen Zac Goldsmith walking round Erith. Best part was most people saying 'nah I'm voting labour mate' as his team handed out leaflets.";;;;"727842020878917632";https://twitter.com/AFCOllieJD/status/727842020878917632
DreamytimeE;2016-05-04 20:47;0;4;"Just had to cancel a booking for a Mr @ZacGoldsmith as we heard he couldn't hold his drink! (also a racist idiot) pic.twitter.com/HghWEwtYXJ";;@ZacGoldsmith;;"727842016604901377";https://twitter.com/DreamytimeE/status/727842016604901377
xeccar;2016-05-04 20:47;0;0;"@richard75941061 @Reprobatemum @ZacGoldsmith They do of course. But they don't have endless resources. Do you report those you suspect?";;@richard75941061 @Reprobatemum @ZacGoldsmith;;"727842003418025986";https://twitter.com/xeccar/status/727842003418025986
